Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
178,70,298,5/3/2023,10,466.60
227,461,308,5/4/2023,8,166.00
141,107,352,5/5/2023,10,60.10
386,226,52,5/5/2023,5,82.65
65,54,198,5/6/2023,9,201.42
170,121,77,5/6/2023,10,442.80
102,295,300,5/10/2023,9,241.83
280,181,377,5/11/2023,8,318.32
130,420,17,5/13/2023,1,5.37
419,330,313,5/15/2023,3,141.48
368,17,488,5/17/2023,10,491.50
450,451,288,5/18/2023,8,223.28
391,30,330,5/20/2023,8,256.16
439,346,419,5/20/2023,3,27.84
442,57,129,5/20/2023,8,325.92
162,295,298,5/21/2023,7,326.62
488,47,18,5/23/2023,4,157.88
460,445,237,5/24/2023,2,80.86
25,265,250,5/25/2023,10,126.50
1,84,169,5/26/2023,8,188.56
204,47,427,5/26/2023,3,54.00
70,49,447,5/29/2023,6,217.50
240,457,492,5/30/2023,10,440.70
477,162,454,5/30/2023,7,66.92
266,167,426,6/2/2023,10,328.20
80,265,17,6/4/2023,8,42.96
335,184,334,6/5/2023,7,249.76
13,420,180,6/8/2023,5,125.45
225,272,115,6/8/2023,4,112.48
26,294,407,6/11/2023,1,42.19
198,373,117,6/13/2023,1,14.87
242,416,410,6/15/2023,9,398.97
379,313,135,6/21/2023,7,105.91
480,415,146,6/21/2023,7,101.50
336,141,371,6/23/2023,9,156.60
287,74,163,6/25/2023,3,57.33
38,15,466,6/26/2023,4,148.68
323,36,412,6/27/2023,6,58.98
173,399,61,7/1/2023,5,205.25
271,462,40,7/1/2023,1,25.97
158,183,225,7/4/2023,3,108.12
345,325,253,7/4/2023,2,23.32
357,163,150,7/6/2023,9,287.55
220,376,275,7/7/2023,1,25.83
415,336,10,7/7/2023,1,24.63
481,405,353,7/7/2023,10,469.70
35,303,172,7/8/2023,5,184.10
24,266,192,7/10/2023,3,145.11
325,60,394,7/10/2023,1,27.15
413,158,314,7/12/2023,3,28.77
20,195,67,7/14/2023,1,10.23
100,207,63,7/14/2023,1,22.38
97,408,221,7/15/2023,10,248.10
331,429,143,7/15/2023,1,43.65
195,437,241,7/17/2023,2,28.12
254,99,469,7/18/2023,2,46.50
206,81,130,7/19/2023,1,6.64
375,115,58,7/19/2023,3,103.62
398,273,334,7/21/2023,9,321.12
381,485,377,7/22/2023,8,318.32
467,390,273,7/22/2023,10,124.30
261,200,288,7/25/2023,8,223.28
332,41,113,7/25/2023,2,12.76
5,14,431,7/26/2023,7,136.36
361,415,448,7/27/2023,6,37.56
129,364,388,8/2/2023,1,26.62
353,14,360,8/3/2023,5,246.70
23,119,301,8/4/2023,3,64.98
388,125,232,8/4/2023,6,57.72
451,87,307,8/4/2023,10,144.30
321,114,386,8/5/2023,8,50.88
447,379,422,8/5/2023,1,45.91
472,145,136,8/7/2023,6,59.34
258,179,387,8/8/2023,3,142.26
96,456,336,8/9/2023,8,192.64
303,423,31,8/12/2023,6,127.38
237,47,199,8/15/2023,7,299.67
215,461,138,8/17/2023,8,198.16
359,301,378,8/23/2023,6,36.06
14,454,319,8/24/2023,2,85.22
342,178,462,8/24/2023,1,49.23
499,140,48,8/26/2023,1,24.70
289,321,491,8/30/2023,2,29.74
440,195,343,8/31/2023,9,387.27
484,500,274,8/31/2023,6,292.80
207,194,461,9/6/2023,1,9.60
66,180,323,9/8/2023,8,286.64
248,312,285,9/9/2023,9,248.85
221,353,219,9/10/2023,5,104.50
230,307,241,9/10/2023,7,98.42
427,287,434,9/11/2023,7,319.06
296,181,486,9/13/2023,1,19.13
250,63,65,9/16/2023,9,204.30
166,272,486,9/17/2023,6,114.78
446,485,380,9/18/2023,3,39.51
42,415,70,9/19/2023,3,70.35
176,86,479,9/19/2023,6,229.62
222,331,157,9/19/2023,10,191.70
239,132,307,9/19/2023,5,72.15
30,438,248,9/23/2023,6,281.94
329,171,171,9/23/2023,5,160.75
119,328,148,9/24/2023,3,36.75
294,21,302,10/1/2023,4,114.68
390,94,73,10/1/2023,10,212.30
143,443,201,10/4/2023,7,260.75
29,305,446,10/5/2023,8,275.92
310,338,334,10/5/2023,3,107.04
16,412,196,10/6/2023,8,53.52
79,134,28,10/6/2023,2,75.02
73,411,81,10/7/2023,1,44.19
106,334,449,10/7/2023,3,120.51
201,67,463,10/11/2023,4,47.96
313,57,105,10/11/2023,8,240.16
154,378,391,10/12/2023,5,167.10
175,385,103,10/12/2023,1,43.25
210,287,223,10/14/2023,6,39.12
491,425,72,10/14/2023,10,465.40
11,131,206,10/16/2023,1,38.01
434,45,83,10/20/2023,10,89.40
7,195,467,10/23/2023,6,82.92
355,437,443,10/23/2023,6,264.30
95,447,426,10/26/2023,1,32.82
152,377,213,10/27/2023,5,33.95
264,290,13,10/29/2023,9,126.36
411,486,208,10/29/2023,8,200.00
437,183,360,10/31/2023,6,296.04
455,84,409,10/31/2023,2,43.12
182,129,293,11/1/2023,7,125.51
245,386,97,11/1/2023,9,411.66
429,449,146,11/1/2023,7,101.50
432,420,168,11/4/2023,3,42.39
257,123,403,11/6/2023,1,15.01
322,270,112,11/8/2023,2,16.04
414,23,234,11/10/2023,1,7.15
231,22,384,11/11/2023,1,33.92
288,6,128,11/13/2023,1,24.04
252,405,387,11/15/2023,5,237.10
19,496,60,11/17/2023,9,316.26
213,325,447,11/17/2023,7,253.75
307,368,133,11/17/2023,1,20.96
389,485,391,11/18/2023,2,66.84
449,490,222,11/18/2023,1,29.59
461,317,196,11/18/2023,9,60.21
132,469,333,11/22/2023,7,194.32
468,162,237,11/22/2023,6,242.58
163,207,384,11/23/2023,3,101.76
200,313,303,11/23/2023,1,6.57
483,459,202,11/23/2023,10,122.60
4,433,343,11/25/2023,7,301.21
137,474,471,11/25/2023,8,363.04
344,385,218,11/25/2023,5,26.80
75,291,375,11/30/2023,5,170.75
138,59,362,12/2/2023,3,88.29
377,194,208,12/3/2023,5,125.00
418,153,372,12/4/2023,2,35.46
337,230,455,12/6/2023,5,135.15
401,154,475,12/6/2023,1,47.76
46,319,442,12/8/2023,1,48.48
126,88,492,12/8/2023,2,88.14
300,90,485,12/9/2023,7,162.12
251,109,490,12/12/2023,2,25.76
408,485,299,12/13/2023,4,112.76
98,429,352,12/15/2023,1,6.01
174,34,29,12/17/2023,4,124.48
202,137,69,12/17/2023,8,70.32
305,107,266,12/18/2023,4,133.16
90,457,137,12/23/2023,6,157.98
487,102,245,12/23/2023,7,112.42
422,322,176,12/25/2023,8,128.88
479,328,197,12/26/2023,7,301.21
37,110,411,12/27/2023,4,60.12
203,116,110,12/27/2023,4,120.60
416,149,211,12/29/2023,1,16.19
187,119,275,12/30/2023,1,25.83
136,165,70,12/31/2023,4,93.80
150,389,135,1/1/2024,10,151.30
469,158,97,1/1/2024,6,274.44
53,160,242,1/2/2024,3,101.37
209,346,449,1/3/2024,10,401.70
9,109,407,1/4/2024,9,379.71
423,11,349,1/10/2024,5,221.80
55,18,281,1/11/2024,7,114.38
161,227,42,1/13/2024,5,241.75
83,457,335,1/16/2024,8,378.32
424,291,118,1/16/2024,7,38.64
211,397,209,1/17/2024,10,486.70
104,182,316,1/18/2024,9,79.29
328,232,3,1/19/2024,3,47.25
293,96,214,1/20/2024,9,163.44
36,417,260,1/21/2024,9,446.31
155,191,397,1/21/2024,6,168.90
360,177,442,1/23/2024,2,96.96
135,174,99,1/24/2024,10,469.30
226,437,35,1/25/2024,9,286.29
318,353,84,1/31/2024,8,356.72
169,81,415,2/4/2024,10,295.10
370,462,295,2/4/2024,4,114.64
304,59,229,2/6/2024,9,184.14
103,103,21,2/7/2024,3,141.39
229,82,482,2/9/2024,7,223.72
350,458,154,2/9/2024,6,104.64
219,186,157,2/11/2024,9,172.53
292,388,432,2/11/2024,4,35.36
81,383,325,2/13/2024,5,202.00
218,364,47,2/13/2024,8,162.96
113,80,255,2/18/2024,3,73.53
426,98,33,2/18/2024,5,175.30
153,484,370,2/19/2024,2,87.82
456,331,125,2/19/2024,5,162.05
114,362,210,2/24/2024,3,122.79
48,458,477,2/25/2024,5,138.55
238,134,280,2/26/2024,6,100.68
116,280,447,2/27/2024,5,181.25
216,104,428,2/28/2024,4,90.92
302,348,80,2/29/2024,6,209.04
334,193,339,3/1/2024,6,261.06
311,198,80,3/5/2024,7,243.88
247,77,142,3/7/2024,10,489.60
366,425,231,3/8/2024,6,56.22
314,449,127,3/9/2024,1,11.66
123,495,437,3/10/2024,5,221.45
346,122,240,3/10/2024,8,399.20
498,152,406,3/10/2024,2,71.58
31,386,279,3/12/2024,8,244.00
269,8,157,3/15/2024,5,95.85
457,387,147,3/17/2024,10,452.00
441,269,168,3/18/2024,8,113.04
77,497,242,3/20/2024,7,236.53
339,374,491,3/21/2024,10,148.70
69,261,109,3/23/2024,4,34.16
371,149,120,3/23/2024,4,192.12
43,199,305,3/25/2024,7,221.62
191,418,390,3/25/2024,1,39.96
121,27,63,3/28/2024,6,134.28
417,222,254,3/29/2024,4,170.28
320,376,363,4/5/2024,8,59.84
400,239,33,4/5/2024,10,350.60
50,474,88,4/6/2024,1,40.22
62,364,324,4/6/2024,5,230.40
146,394,404,4/7/2024,4,62.60
142,107,434,4/8/2024,2,91.16
274,254,120,4/10/2024,2,96.06
63,16,469,4/13/2024,9,209.25
270,120,82,4/13/2024,7,319.90
394,299,425,4/14/2024,1,24.23
407,121,156,4/14/2024,4,126.72
33,478,253,4/15/2024,5,58.30
291,214,154,4/15/2024,8,139.52
445,21,384,4/16/2024,8,271.36
212,244,300,4/20/2024,2,53.74
86,361,441,4/28/2024,3,122.16
233,403,181,4/28/2024,7,271.11
374,418,64,4/28/2024,9,216.90
492,284,120,4/28/2024,10,480.30
184,474,88,4/30/2024,2,80.44
443,425,108,4/30/2024,10,253.80
405,405,149,5/1/2024,5,85.45
41,418,147,5/5/2024,8,361.60
8,32,159,5/7/2024,4,144.84
260,112,170,5/7/2024,2,22.56
364,357,38,5/12/2024,9,148.23
124,272,122,5/17/2024,10,307.50
52,173,161,5/20/2024,7,151.20
208,13,101,5/21/2024,6,290.94
157,166,245,5/24/2024,10,160.60
108,281,430,5/25/2024,6,71.40
197,256,32,5/25/2024,10,215.60
3,216,261,5/27/2024,6,85.50
131,16,1,5/27/2024,3,64.02
156,176,66,5/27/2024,5,141.45
395,159,443,5/27/2024,9,396.45
256,225,174,5/30/2024,9,340.47
139,189,26,5/31/2024,9,189.45
356,384,102,6/1/2024,3,120.66
125,196,43,6/5/2024,4,189.56
228,400,104,6/7/2024,3,31.68
183,335,371,6/8/2024,1,17.40
22,177,427,6/10/2024,3,54.00
71,500,438,6/11/2024,8,267.12
454,386,186,6/14/2024,8,330.64
326,16,149,6/15/2024,6,102.54
148,333,429,6/16/2024,1,42.58
412,24,103,6/16/2024,5,216.25
12,454,3,6/17/2024,2,31.50
436,224,412,6/17/2024,1,9.83
500,297,137,6/17/2024,5,131.65
473,353,75,6/19/2024,1,47.11
192,144,380,6/24/2024,2,26.34
384,304,369,6/26/2024,7,158.55
34,463,146,6/27/2024,3,43.50
164,467,184,6/27/2024,9,47.25
319,172,296,6/27/2024,2,22.98
316,329,198,6/30/2024,7,156.66
61,405,361,7/2/2024,5,198.75
190,240,273,7/2/2024,4,49.72
40,120,450,7/3/2024,2,91.50
392,336,212,7/4/2024,1,18.69
84,280,49,7/5/2024,6,297.00
94,136,88,7/6/2024,6,241.32
463,174,279,7/6/2024,5,152.50
241,119,69,7/8/2024,6,52.74
10,94,122,7/9/2024,4,123.00
87,167,435,7/11/2024,2,55.52
189,107,240,7/11/2024,6,299.40
327,247,409,7/11/2024,2,43.12
452,100,412,7/13/2024,1,9.83
385,379,110,7/18/2024,9,271.35
64,348,160,7/19/2024,10,344.80
224,384,90,7/19/2024,4,66.24
387,344,236,7/20/2024,4,43.12
47,6,360,7/23/2024,3,148.02
78,44,196,7/23/2024,5,33.45
44,234,460,7/24/2024,5,179.40
232,220,229,7/26/2024,5,102.30
430,206,26,7/26/2024,2,42.10
297,382,381,7/27/2024,4,42.40
354,388,225,7/28/2024,2,72.08
299,189,348,7/29/2024,8,100.96
362,242,292,7/29/2024,3,80.82
285,198,469,7/30/2024,6,139.50
243,82,350,8/2/2024,10,316.70
478,423,350,8/2/2024,4,126.68
39,488,422,8/3/2024,8,367.28
89,305,113,8/6/2024,2,12.76
18,377,101,8/7/2024,4,193.96
49,322,336,8/14/2024,7,168.56
382,492,333,8/14/2024,1,27.76
438,304,434,8/16/2024,2,91.16
459,163,422,8/17/2024,10,459.10
290,31,219,8/18/2024,2,41.80
263,260,373,8/20/2024,2,78.18
177,378,121,8/21/2024,3,127.41
298,359,73,8/22/2024,10,212.30
127,267,295,8/24/2024,7,200.62
111,174,450,8/25/2024,7,320.25
151,361,288,8/27/2024,7,195.37
267,467,390,8/30/2024,9,359.64
482,2,429,8/31/2024,7,298.06
51,155,491,9/1/2024,5,74.35
54,446,393,9/1/2024,3,132.00
76,470,466,9/2/2024,10,371.70
214,103,114,9/4/2024,7,50.96
341,26,333,9/6/2024,2,55.52
409,184,303,9/7/2024,6,39.42
145,340,477,9/10/2024,8,221.68
159,174,51,9/11/2024,3,138.90
301,339,346,9/12/2024,4,39.88
128,197,345,9/17/2024,6,155.34
265,258,100,9/17/2024,9,449.01
380,465,491,9/18/2024,3,44.61
172,463,423,9/20/2024,1,25.63
431,68,276,9/22/2024,1,19.85
115,321,136,9/23/2024,8,79.12
165,382,362,9/23/2024,6,176.58
378,203,105,9/25/2024,1,30.02
496,53,233,9/28/2024,6,62.34
199,429,18,9/30/2024,10,394.70
404,457,191,10/2/2024,10,421.90
420,102,415,10/3/2024,1,29.51
295,414,269,10/7/2024,5,165.40
147,277,285,10/8/2024,5,138.25
333,161,407,10/8/2024,1,42.19
6,439,119,10/11/2024,5,249.40
91,226,142,10/13/2024,10,489.60
72,290,5,10/19/2024,1,10.95
107,10,330,10/20/2024,6,192.12
93,366,427,10/23/2024,3,54.00
373,428,47,10/25/2024,9,183.33
244,12,380,10/28/2024,3,39.51
470,349,232,10/30/2024,8,76.96
283,277,471,10/31/2024,8,363.04
272,228,321,11/2/2024,1,24.32
194,463,340,11/4/2024,5,249.90
236,375,265,11/4/2024,9,419.40
493,475,19,11/4/2024,1,11.31
56,76,333,11/6/2024,5,138.80
144,432,179,11/10/2024,2,96.42
235,419,459,11/12/2024,3,107.31
279,204,339,11/13/2024,9,391.59
246,401,415,11/14/2024,2,59.02
268,117,56,11/15/2024,9,70.83
45,470,67,11/16/2024,4,40.92
276,166,46,11/16/2024,3,99.51
403,98,398,11/17/2024,10,334.10
278,111,71,11/18/2024,9,346.50
109,486,368,11/19/2024,2,89.20
234,149,11,11/21/2024,5,179.75
448,115,38,11/21/2024,1,16.47
282,364,154,11/22/2024,6,104.64
281,23,431,11/23/2024,8,155.84
494,117,127,11/23/2024,2,23.32
167,168,442,11/24/2024,3,145.44
462,22,282,11/24/2024,3,114.57
28,151,423,11/27/2024,8,205.04
149,39,56,11/28/2024,4,31.48
306,54,316,11/28/2024,4,35.24
410,364,462,12/1/2024,5,246.15
57,24,34,12/2/2024,2,32.98
58,329,369,12/2/2024,7,158.55
27,310,156,12/3/2024,1,31.68
21,356,287,12/5/2024,3,120.57
32,292,313,12/6/2024,4,188.64
466,498,273,12/7/2024,7,87.01
